field_name,field_type
datahora,datetime
estado,text
estadosigla,text
municipio,text
cnes,text
nomecnes,text
datanotificacaoocupacao,text
ofertarespiradores,integer
ofertahospcli,integer
ofertahosputi,integer
ofertasragcli,integer
ofertasraguti,integer
ocuphospcli,float
ocuphosputi,float
ocupsragcli,float
ocupsraguti,float
altas,integer
obitos,integer
ocupacaoinformada,bool
algumaocupacaoinformada,bool
