state,csv_url
AP,https://docs.google.com/spreadsheets/d/1kjeKS6YOdL9lOxhob1E_m2zg9sysYseriFLOfDSgHAg/export?format=csv&id=1kjeKS6YOdL9lOxhob1E_m2zg9sysYseriFLOfDSgHAg&gid=1381805318
MG,https://docs.google.com/spreadsheets/u/0/d/1kjeKS6YOdL9lOxhob1E_m2zg9sysYseriFLOfDSgHAg/export?format=csv&id=1kjeKS6YOdL9lOxhob1E_m2zg9sysYseriFLOfDSgHAg&gid=0
PR,https://docs.google.com/spreadsheets/u/0/d/1kjeKS6YOdL9lOxhob1E_m2zg9sysYseriFLOfDSgHAg/export?format=csv&id=1kjeKS6YOdL9lOxhob1E_m2zg9sysYseriFLOfDSgHAg&gid=1365839222
